assigned_by,origin_station,destination_station,mission_type,crew_status,navigation_mode,car_color,last_telemetry_message,ship_serial_number
Captain Kael,Zenthar Relay,Cryon Reach,commute,automated,auto,LawnGreen,Re-routing due to unstable path.,CXS-8419-HB
Zara Strix,Orryx Haven,Vega Spire,commute,automated,auto,Wheat,Minor vibration detected. Monitoring systems.,CXS-9393-HU
Captain Kael,Zenthar Relay,Thalos Crossing,commute,automated,auto,Lavender,Minor vibration detected. Monitoring systems.,CXS-4560-BD
Axel Orov,Cryon Reach,Vega Spire,commute,automated,auto,PaleVioletRed,Re-routing due to unstable path.,CXS-3173-KW
Captain Kael,Orryx Haven,Helion Hub,commute,automated,auto,SeaShell,Power levels nominal. Adjusting trajectory.,CXS-6771-DV
Zara Strix,Thalos Crossing,Zenthar Relay,commute,automated,auto,DarkSlateGray,Minor vibration detected. Monitoring systems.,CXS-5684-AR
Dr. Calix Renner,Cerebra Ring,Thalos Crossing,commute,automated,auto,DimGray,Minor vibration detected. Monitoring systems.,CXS-2744-NU
Marshal Keir,Lunaris Port,Zenthar Relay,commute,automated,auto,Sienna,Power levels nominal. Adjusting trajectory.,CXS-1927-PU
Marshal Keir,Cryon Reach,Orryx Haven,commute,automated,auto,Green,Re-routing due to unstable path.,CXS-5105-YJ
Dr. Calix Renner,Orryx Haven,Thalos Crossing,commute,automated,auto,MediumBlue,Re-routing due to unstable path.,CXS-4342-JU
Commander Yulo,Lunaris Port,Cryon Reach,commute,automated,auto,Chocolate,Power levels nominal. Adjusting trajectory.,CXS-4675-YC
Axel Orov,Cerebra Ring,Vega Spire,commute,automated,auto,Lavender,Power levels nominal. Adjusting trajectory.,CXS-7251-RX
Captain Kael,Cerebra Ring,Cryon Reach,commute,automated,auto,Blue,Minor vibration detected. Monitoring systems.,CXS-1881-FN
Axel Orov,Lunaris Port,Cerebra Ring,commute,automated,auto,Fuchsia,Fuel low. Navigating around debris.,CXS-8259-BM
Captain Kael,Cryon Reach,Cerebra Ring,commute,automated,auto,Snow,Minor vibration detected. Monitoring systems.,CXS-9955-FX
Tamsin Ryx,Cryon Reach,Thalos Crossing,commute,automated,auto,LightSteelBlue,Re-routing due to unstable path.,CXS-8353-BA
Elia Vorn,Orryx Haven,Cerebra Ring,commute,automated,auto,Lime,Fuel low. Navigating around debris.,CXS-3847-ST
Dr. Calix Renner,Vega Spire,Zenthar Relay,commute,automated,auto,DarkMagenta,Clear path confirmed. Continuing cruise.,CXS-5572-KJ
Marshal Keir,Zenthar Relay,Vega Spire,commute,automated,auto,SaddleBrown,Minor vibration detected. Monitoring systems.,CXS-5178-UR
Commander Yulo,Lunaris Port,Cryon Reach,commute,automated,auto,Violet,Fuel low. Navigating around debris.,CXS-1654-PE
Dr. Calix Renner,Orryx Haven,Cryon Reach,commute,automated,auto,Tan,Minor vibration detected. Monitoring systems.,CXS-5934-OI
Captain Kael,Thalos Crossing,Cerebra Ring,commute,automated,auto,GoldenRod,Power levels nominal. Adjusting trajectory.,CXS-6207-ZD
Elia Vorn,Cryon Reach,Vega Spire,commute,automated,auto,MediumPurple,Minor vibration detected. Monitoring systems.,CXS-3611-FX
Zara Strix,Cerebra Ring,Zenthar Relay,commute,automated,auto,Salmon,Power levels nominal. Adjusting trajectory.,CXS-6724-UI
Captain Kael,Cryon Reach,Vega Spire,commute,automated,auto,GhostWhite,Re-routing due to unstable path.,CXS-6911-AX
Commander Yulo,Zenthar Relay,Vega Spire,commute,automated,auto,MediumSlateBlue,Minor vibration detected. Monitoring systems.,CXS-1144-ZJ
Captain Kael,Vega Spire,Cerebra Ring,commute,automated,auto,GoldenRod,Clear path confirmed. Continuing cruise.,CXS-4937-FT
Captain Kael,Cryon Reach,Lunaris Port,commute,automated,auto,PaleGreen,Clear path confirmed. Continuing cruise.,CXS-2857-NQ
Axel Orov,Cerebra Ring,Orryx Haven,commute,automated,auto,MediumOrchid,Power levels nominal. Adjusting trajectory.,CXS-9468-CM
Commander Yulo,Helion Hub,Zenthar Relay,commute,automated,auto,DarkGray,Clear path confirmed. Continuing cruise.,CXS-1718-FE
Tamsin Ryx,Zenthar Relay,Cerebra Ring,commute,automated,auto,Silver,Re-routing due to unstable path.,CXS-9419-KH
Marshal Keir,Vega Spire,Lunaris Port,commute,automated,auto,AntiqueWhite,Minor vibration detected. Monitoring systems.,CXS-9736-IM
Elia Vorn,Lunaris Port,Cerebra Ring,commute,automated,auto,LavenderBlush,Fuel low. Navigating around debris.,CXS-4492-OY
Elia Vorn,Cerebra Ring,Thalos Crossing,commute,automated,auto,LightGreen,Fuel low. Navigating around debris.,CXS-9810-KJ
Elia Vorn,Cerebra Ring,Helion Hub,commute,automated,auto,Aqua,Fuel low. Navigating around debris.,CXS-1389-IU
Captain Kael,Thalos Crossing,Helion Hub,commute,automated,auto,MistyRose,Power levels nominal. Adjusting trajectory.,CXS-2433-WH
Marshal Keir,Vega Spire,Lunaris Port,commute,automated,auto,Chocolate,Re-routing due to unstable path.,CXS-2154-VD
Zara Strix,Cryon Reach,Orryx Haven,commute,automated,auto,SeaGreen,Clear path confirmed. Continuing cruise.,CXS-8391-JF
Captain Kael,Cerebra Ring,Cryon Reach,commute,automated,auto,PaleGreen,Power levels nominal. Adjusting trajectory.,CXS-7381-VQ
Dr. Calix Renner,Vega Spire,Helion Hub,commute,automated,auto,Magenta,Minor vibration detected. Monitoring systems.,CXS-2036-WD
Elia Vorn,Lunaris Port,Cerebra Ring,commute,automated,auto,LightYellow,Re-routing due to unstable path.,CXS-9238-LT
Axel Orov,Vega Spire,Cryon Reach,commute,automated,auto,Indigo,Minor vibration detected. Monitoring systems.,CXS-2417-HE
Commander Yulo,Zenthar Relay,Thalos Crossing,commute,automated,auto,Silver,Clear path confirmed. Continuing cruise.,CXS-7473-EO
Marshal Keir,Lunaris Port,Zenthar Relay,commute,automated,auto,Navy,Minor vibration detected. Monitoring systems.,CXS-4602-NW
Zara Strix,Orryx Haven,Cerebra Ring,commute,automated,auto,SeaShell,Minor vibration detected. Monitoring systems.,CXS-5832-YR
Captain Kael,Orryx Haven,Cryon Reach,commute,automated,auto,IndianRed,Power levels nominal. Adjusting trajectory.,CXS-3316-YH
Dr. Calix Renner,Vega Spire,Lunaris Port,commute,automated,auto,Cyan,Minor vibration detected. Monitoring systems.,CXS-7456-QO
Tamsin Ryx,Vega Spire,Cryon Reach,commute,automated,auto,Wheat,Re-routing due to unstable path.,CXS-4469-WL
Marshal Keir,Cerebra Ring,Helion Hub,commute,automated,auto,Crimson,Fuel low. Navigating around debris.,CXS-4014-SD
Axel Orov,Cryon Reach,Helion Hub,commute,automated,auto,Chocolate,Fuel low. Navigating around debris.,CXS-2877-RQ
Dr. Calix Renner,Orryx Haven,Cerebra Ring,commute,automated,auto,Green,Minor vibration detected. Monitoring systems.,CXS-8557-SR
Elia Vorn,Vega Spire,Cryon Reach,commute,automated,auto,DeepPink,Re-routing due to unstable path.,CXS-2608-FK
Commander Yulo,Cryon Reach,Cerebra Ring,commute,automated,auto,Turquoise,Re-routing due to unstable path.,CXS-6851-OD
Tamsin Ryx,Orryx Haven,Cerebra Ring,commute,automated,auto,GreenYellow,Power levels nominal. Adjusting trajectory.,CXS-5671-WS
Captain Kael,Vega Spire,Orryx Haven,commute,automated,auto,SlateGray,Clear path confirmed. Continuing cruise.,CXS-8383-CQ
Axel Orov,Helion Hub,Zenthar Relay,commute,automated,auto,RosyBrown,Minor vibration detected. Monitoring systems.,CXS-3496-ZB
Captain Kael,Helion Hub,Thalos Crossing,commute,automated,auto,SaddleBrown,Clear path confirmed. Continuing cruise.,CXS-3762-EQ
Tamsin Ryx,Lunaris Port,Cryon Reach,commute,automated,auto,PapayaWhip,Fuel low. Navigating around debris.,CXS-8145-OS
Captain Kael,Zenthar Relay,Thalos Crossing,commute,automated,auto,Chartreuse,Fuel low. Navigating around debris.,CXS-6432-RO
Commander Yulo,Thalos Crossing,Cryon Reach,commute,automated,auto,Linen,Re-routing due to unstable path.,CXS-6004-XA
Elia Vorn,Thalos Crossing,Zenthar Relay,commute,automated,auto,Orchid,Fuel low. Navigating around debris.,CXS-2343-IA
Marshal Keir,Zenthar Relay,Thalos Crossing,commute,automated,auto,IndianRed,Minor vibration detected. Monitoring systems.,CXS-4218-SC
Elia Vorn,Zenthar Relay,Cerebra Ring,commute,automated,auto,Brown,Power levels nominal. Adjusting trajectory.,CXS-1305-NL
Zara Strix,Lunaris Port,Thalos Crossing,commute,automated,auto,Coral,Minor vibration detected. Monitoring systems.,CXS-4485-RB
Axel Orov,Lunaris Port,Helion Hub,commute,automated,auto,CornflowerBlue,Minor vibration detected. Monitoring systems.,CXS-9842-PB
Marshal Keir,Thalos Crossing,Helion Hub,commute,automated,auto,LightSlateGray,Re-routing due to unstable path.,CXS-7430-NF
Axel Orov,Cryon Reach,Thalos Crossing,commute,automated,auto,DarkSlateBlue,Fuel low. Navigating around debris.,CXS-8613-YU
Captain Kael,Vega Spire,Zenthar Relay,commute,automated,auto,PeachPuff,Minor vibration detected. Monitoring systems.,CXS-1173-LM
Marshal Keir,Cryon Reach,Thalos Crossing,commute,automated,auto,RosyBrown,Minor vibration detected. Monitoring systems.,CXS-3299-MM
Marshal Keir,Thalos Crossing,Vega Spire,commute,automated,auto,Cyan,Minor vibration detected. Monitoring systems.,CXS-3395-VV
Dr. Calix Renner,Thalos Crossing,Orryx Haven,commute,automated,auto,Yellow,Fuel low. Navigating around debris.,CXS-8989-EU
Axel Orov,Cryon Reach,Lunaris Port,commute,automated,auto,MediumVioletRed,Re-routing due to unstable path.,CXS-4834-DF
Tamsin Ryx,Lunaris Port,Cerebra Ring,commute,automated,auto,WhiteSmoke,Minor vibration detected. Monitoring systems.,CXS-6918-MQ
Commander Yulo,Cerebra Ring,Cryon Reach,commute,automated,auto,DarkSalmon,Power levels nominal. Adjusting trajectory.,CXS-1653-XH
Axel Orov,Helion Hub,Lunaris Port,commute,automated,auto,AliceBlue,Re-routing due to unstable path.,CXS-9918-YA
Zara Strix,Orryx Haven,Zenthar Relay,commute,automated,auto,Lime,Re-routing due to unstable path.,CXS-2275-OV
Tamsin Ryx,Zenthar Relay,Cryon Reach,commute,automated,auto,YellowGreen,Minor vibration detected. Monitoring systems.,CXS-7649-NR
Captain Kael,Helion Hub,Thalos Crossing,commute,automated,auto,Olive,Clear path confirmed. Continuing cruise.,CXS-8898-HH
Marshal Keir,Lunaris Port,Helion Hub,commute,automated,auto,Salmon,Clear path confirmed. Continuing cruise.,CXS-3713-LE
Axel Orov,Cryon Reach,Lunaris Port,commute,automated,auto,LightSalmon,Fuel low. Navigating around debris.,CXS-3461-GX
Captain Kael,Orryx Haven,Vega Spire,commute,automated,auto,DarkOliveGreen,Minor vibration detected. Monitoring systems.,CXS-2938-BZ
Captain Kael,Cryon Reach,Zenthar Relay,commute,automated,auto,PeachPuff,Power levels nominal. Adjusting trajectory.,CXS-8889-TY
Tamsin Ryx,Thalos Crossing,Cryon Reach,commute,automated,auto,Azure,Minor vibration detected. Monitoring systems.,CXS-3641-HG
Tamsin Ryx,Cerebra Ring,Lunaris Port,commute,automated,auto,CornflowerBlue,Power levels nominal. Adjusting trajectory.,CXS-3095-DT
Dr. Calix Renner,Orryx Haven,Vega Spire,commute,automated,auto,BlanchedAlmond,Minor vibration detected. Monitoring systems.,CXS-3406-OT
Axel Orov,Lunaris Port,Orryx Haven,commute,automated,auto,BurlyWood,Fuel low. Navigating around debris.,CXS-9464-HX
Dr. Calix Renner,Cerebra Ring,Zenthar Relay,commute,automated,auto,Brown,Re-routing due to unstable path.,CXS-2404-MO
Commander Yulo,Cryon Reach,Zenthar Relay,commute,automated,auto,Lavender,Clear path confirmed. Continuing cruise.,CXS-3794-RG
Zara Strix,Cryon Reach,Thalos Crossing,commute,automated,auto,Chartreuse,Minor vibration detected. Monitoring systems.,CXS-3338-EQ
Axel Orov,Orryx Haven,Helion Hub,commute,automated,auto,LightSteelBlue,Fuel low. Navigating around debris.,CXS-6614-HX
Elia Vorn,Thalos Crossing,Zenthar Relay,commute,automated,auto,MediumAquaMarine,Fuel low. Navigating around debris.,CXS-7196-ST
Elia Vorn,Cerebra Ring,Vega Spire,commute,automated,auto,MediumBlue,Power levels nominal. Adjusting trajectory.,CXS-4315-HJ
Marshal Keir,Cerebra Ring,Thalos Crossing,commute,automated,auto,DarkTurquoise,Minor vibration detected. Monitoring systems.,CXS-2577-VQ
Dr. Calix Renner,Orryx Haven,Zenthar Relay,commute,automated,auto,Indigo,Minor vibration detected. Monitoring systems.,CXS-9246-NJ
Commander Yulo,Vega Spire,Lunaris Port,commute,automated,auto,LightSalmon,Fuel low. Navigating around debris.,CXS-9835-BR
Zara Strix,Lunaris Port,Thalos Crossing,commute,automated,auto,ForestGreen,Minor vibration detected. Monitoring systems.,CXS-7892-UV
Dr. Calix Renner,Helion Hub,Thalos Crossing,commute,automated,auto,Pink,Minor vibration detected. Monitoring systems.,CXS-8028-RP
Commander Yulo,Cryon Reach,Thalos Crossing,commute,automated,auto,BurlyWood,Clear path confirmed. Continuing cruise.,CXS-6742-LU
Marshal Keir,Vega Spire,Zenthar Relay,commute,automated,auto,Olive,Re-routing due to unstable path.,CXS-8817-ZQ
Elia Vorn,Cryon Reach,Thalos Crossing,commute,automated,auto,MediumAquaMarine,Re-routing due to unstable path.,CXS-9908-WN
Tamsin Ryx,Cerebra Ring,Orryx Haven,commute,automated,auto,PaleTurquoise,Power levels nominal. Adjusting trajectory.,CXS-1116-EJ
Dr. Calix Renner,Vega Spire,Helion Hub,commute,automated,auto,OldLace,Clear path confirmed. Continuing cruise.,CXS-4365-FY
Captain Kael,Helion Hub,Cryon Reach,commute,automated,auto,WhiteSmoke,Power levels nominal. Adjusting trajectory.,CXS-3535-PH
Axel Orov,Cerebra Ring,Helion Hub,commute,automated,auto,Ivory,Re-routing due to unstable path.,CXS-9783-JW
Captain Kael,Cerebra Ring,Zenthar Relay,commute,automated,auto,DarkTurquoise,Minor vibration detected. Monitoring systems.,CXS-5514-ZO
Tamsin Ryx,Cerebra Ring,Thalos Crossing,commute,automated,auto,Chartreuse,Clear path confirmed. Continuing cruise.,CXS-8904-RN
Commander Yulo,Orryx Haven,Cryon Reach,commute,automated,auto,PapayaWhip,Re-routing due to unstable path.,CXS-6024-RQ
Zara Strix,Helion Hub,Thalos Crossing,commute,automated,auto,DarkSlateBlue,Fuel low. Navigating around debris.,CXS-2951-MH
Marshal Keir,Cryon Reach,Zenthar Relay,commute,automated,auto,LightCyan,Power levels nominal. Adjusting trajectory.,CXS-4513-GK
Captain Kael,Cerebra Ring,Thalos Crossing,commute,automated,auto,Cyan,Minor vibration detected. Monitoring systems.,CXS-1852-OL
Dr. Calix Renner,Orryx Haven,Zenthar Relay,commute,automated,auto,DarkGoldenRod,Power levels nominal. Adjusting trajectory.,CXS-3381-RX
Zara Strix,Thalos Crossing,Zenthar Relay,commute,automated,auto,Gold,Power levels nominal. Adjusting trajectory.,CXS-2049-BI
Captain Kael,Zenthar Relay,Vega Spire,commute,automated,auto,OldLace,Power levels nominal. Adjusting trajectory.,CXS-1618-VT
Axel Orov,Cerebra Ring,Cryon Reach,commute,automated,auto,BlueViolet,Minor vibration detected. Monitoring systems.,CXS-1941-CG
Commander Yulo,Orryx Haven,Cerebra Ring,commute,automated,auto,IndianRed,Clear path confirmed. Continuing cruise.,CXS-1175-PG
Axel Orov,Cryon Reach,Thalos Crossing,commute,automated,auto,MediumSeaGreen,Fuel low. Navigating around debris.,CXS-1550-JA
Marshal Keir,Cryon Reach,Helion Hub,commute,automated,auto,HotPink,Power levels nominal. Adjusting trajectory.,CXS-6893-GX
Dr. Calix Renner,Cryon Reach,Cerebra Ring,commute,automated,auto,DarkOrchid,Fuel low. Navigating around debris.,CXS-2422-XY
Zara Strix,Zenthar Relay,Thalos Crossing,commute,automated,auto,Silver,Re-routing due to unstable path.,CXS-7474-HW
Tamsin Ryx,Cerebra Ring,Zenthar Relay,commute,automated,auto,GreenYellow,Minor vibration detected. Monitoring systems.,CXS-1251-MH
Axel Orov,Vega Spire,Lunaris Port,commute,automated,auto,MediumBlue,Minor vibration detected. Monitoring systems.,CXS-6703-YJ
Axel Orov,Helion Hub,Thalos Crossing,commute,automated,auto,Olive,Fuel low. Navigating around debris.,CXS-4187-OR
Dr. Calix Renner,Thalos Crossing,Cryon Reach,commute,automated,auto,MintCream,Re-routing due to unstable path.,CXS-3867-JI
Elia Vorn,Cerebra Ring,Zenthar Relay,commute,automated,auto,MistyRose,Minor vibration detected. Monitoring systems.,CXS-2185-QP
Elia Vorn,Zenthar Relay,Orryx Haven,commute,automated,auto,SeaGreen,Minor vibration detected. Monitoring systems.,CXS-5222-DZ
Commander Yulo,Zenthar Relay,Cerebra Ring,commute,automated,auto,SeaShell,Clear path confirmed. Continuing cruise.,CXS-8923-YK
Captain Kael,Cryon Reach,Thalos Crossing,commute,automated,auto,GreenYellow,Clear path confirmed. Continuing cruise.,CXS-8548-LK
Elia Vorn,Lunaris Port,Zenthar Relay,commute,automated,auto,PaleVioletRed,Re-routing due to unstable path.,CXS-2106-BS
Tamsin Ryx,Cerebra Ring,Helion Hub,commute,automated,auto,Indigo,Fuel low. Navigating around debris.,CXS-6172-XE
Dr. Calix Renner,Cerebra Ring,Orryx Haven,commute,automated,auto,Azure,Re-routing due to unstable path.,CXS-5067-IR
Zara Strix,Zenthar Relay,Lunaris Port,commute,automated,auto,PapayaWhip,Re-routing due to unstable path.,CXS-2245-JE
Captain Kael,Orryx Haven,Zenthar Relay,commute,automated,auto,Gray,Re-routing due to unstable path.,CXS-4580-KH
Tamsin Ryx,Zenthar Relay,Vega Spire,commute,automated,auto,Olive,Clear path confirmed. Continuing cruise.,CXS-4271-SH
Tamsin Ryx,Cryon Reach,Cerebra Ring,commute,automated,auto,SpringGreen,Re-routing due to unstable path.,CXS-4387-RU
Tamsin Ryx,Cryon Reach,Vega Spire,commute,automated,auto,MediumSlateBlue,Minor vibration detected. Monitoring systems.,CXS-6833-IY
Elia Vorn,Orryx Haven,Thalos Crossing,commute,automated,auto,SlateGray,Power levels nominal. Adjusting trajectory.,CXS-2285-XU
Dr. Calix Renner,Thalos Crossing,Zenthar Relay,commute,automated,auto,SlateGray,Minor vibration detected. Monitoring systems.,CXS-1692-OF
Captain Kael,Thalos Crossing,Orryx Haven,commute,automated,auto,MidnightBlue,Clear path confirmed. Continuing cruise.,CXS-5501-FE
Axel Orov,Thalos Crossing,Vega Spire,commute,automated,auto,YellowGreen,Clear path confirmed. Continuing cruise.,CXS-4638-PF
Zara Strix,Orryx Haven,Lunaris Port,commute,automated,auto,Yellow,Clear path confirmed. Continuing cruise.,CXS-9859-UB
Captain Kael,Lunaris Port,Helion Hub,commute,automated,auto,Violet,Clear path confirmed. Continuing cruise.,CXS-3863-BC
Commander Yulo,Thalos Crossing,Lunaris Port,commute,automated,auto,BurlyWood,Re-routing due to unstable path.,CXS-1137-YA
Tamsin Ryx,Lunaris Port,Cerebra Ring,commute,automated,auto,PaleVioletRed,Clear path confirmed. Continuing cruise.,CXS-2650-EU
Axel Orov,Helion Hub,Orryx Haven,commute,automated,auto,Lavender,Fuel low. Navigating around debris.,CXS-9987-CW
Axel Orov,Zenthar Relay,Vega Spire,commute,automated,auto,DeepPink,Clear path confirmed. Continuing cruise.,CXS-6621-AG
Commander Yulo,Helion Hub,Vega Spire,commute,automated,auto,Tan,Clear path confirmed. Continuing cruise.,CXS-4449-OL
Captain Kael,Cerebra Ring,Helion Hub,commute,automated,auto,Chocolate,Re-routing due to unstable path.,CXS-7563-TU
Marshal Keir,Zenthar Relay,Cryon Reach,commute,automated,auto,SkyBlue,Minor vibration detected. Monitoring systems.,CXS-3148-VP
Elia Vorn,Cryon Reach,Thalos Crossing,commute,automated,auto,Azure,Re-routing due to unstable path.,CXS-4863-AR
Zara Strix,Cerebra Ring,Thalos Crossing,commute,automated,auto,PaleVioletRed,Fuel low. Navigating around debris.,CXS-3389-AA
Dr. Calix Renner,Orryx Haven,Zenthar Relay,commute,automated,auto,Wheat,Fuel low. Navigating around debris.,CXS-7906-XI
Captain Kael,Thalos Crossing,Vega Spire,commute,automated,auto,WhiteSmoke,Clear path confirmed. Continuing cruise.,CXS-5915-JA
Dr. Calix Renner,Zenthar Relay,Helion Hub,commute,automated,auto,SteelBlue,Clear path confirmed. Continuing cruise.,CXS-2621-WV
Tamsin Ryx,Orryx Haven,Lunaris Port,commute,automated,auto,Plum,Re-routing due to unstable path.,CXS-8807-ZF
Captain Kael,Vega Spire,Zenthar Relay,commute,automated,auto,DarkMagenta,Re-routing due to unstable path.,CXS-6914-DQ
Axel Orov,Helion Hub,Zenthar Relay,commute,automated,auto,DeepPink,Re-routing due to unstable path.,CXS-1324-HG
Captain Kael,Cerebra Ring,Lunaris Port,commute,automated,auto,Violet,Minor vibration detected. Monitoring systems.,CXS-4259-IL
Axel Orov,Orryx Haven,Thalos Crossing,commute,automated,auto,LightGreen,Re-routing due to unstable path.,CXS-6326-ZM
Commander Yulo,Thalos Crossing,Cerebra Ring,commute,automated,auto,Cyan,Power levels nominal. Adjusting trajectory.,CXS-7243-LM
Marshal Keir,Zenthar Relay,Cryon Reach,commute,automated,auto,Salmon,Fuel low. Navigating around debris.,CXS-6527-SH
Zara Strix,Cerebra Ring,Helion Hub,commute,automated,auto,Ivory,Power levels nominal. Adjusting trajectory.,CXS-2296-JV
Tamsin Ryx,Orryx Haven,Cryon Reach,commute,automated,auto,Cyan,Re-routing due to unstable path.,CXS-6191-UU
Axel Orov,Zenthar Relay,Cerebra Ring,commute,automated,auto,BlanchedAlmond,Minor vibration detected. Monitoring systems.,CXS-7479-CM
Captain Kael,Zenthar Relay,Cryon Reach,commute,automated,auto,Olive,Minor vibration detected. Monitoring systems.,CXS-9535-MR
Marshal Keir,Thalos Crossing,Cryon Reach,commute,automated,auto,Sienna,Fuel low. Navigating around debris.,CXS-1378-BU
Tamsin Ryx,Orryx Haven,Cerebra Ring,commute,automated,auto,Aqua,Re-routing due to unstable path.,CXS-2311-WF
